Chr	Start	End	Strand	TSS	ID	EnsID	Type	Symbol
5182	chr2	174547141	174776720	+	chr2:174547141	chr2:174547141-174776720	ENSG00000236449	lncRNA	AC010894.3
5183	chr2	174559572	174682916	-	chr2:174682916	chr2:174559572-174682916	ENSG00000115935	protein_coding	WIPF1
5184	chr2	174575227	174587726	+	chr2:174575227	chr2:174575227-174587726	ENSG00000237798	lncRNA	AC010894.4
5185	chr2	174747592	174787935	-	chr2:174787935	chr2:174747592-174787935	ENSG00000138435	protein_coding	CHRNA1
5186	chr2	174799313	175005381	-	chr2:175005381	chr2:174799313-175005381	ENSG00000128656	protein_coding	CHN1
5187	chr2	175072250	175168382	-	chr2:175168382	chr2:175072250-175168382	ENSG00000115966	protein_coding	ATF2
5188	chr2	175167904	175168522	+	chr2:175167904	chr2:175167904-175168522	ENSG00000229750	lncRNA	AC096649.1
5189	chr2	175176258	175184607	-	chr2:175184607	chr2:175176258-175184607	ENSG00000154518	protein_coding	ATP5MC3
5190	chr2	175257250	175463180	+	chr2:175257250	chr2:175257250-175463180	ENSG00000229066	lncRNA	AC093459.1
5191	chr2	175897336	175904232	+	chr2:175897336	chr2:175897336-175904232	ENSG00000235047	lncRNA	AC016751.2
5192	chr2	175904371	175905502	-	chr2:175905502	chr2:175904371-175905502	ENSG00000229779	lncRNA	AC016751.1
5193	chr2	175923882	176002839	-	chr2:176002839	chr2:175923882-176002839	ENSG00000144320	protein_coding	LNPK
5194	chr2	176077472	176083913	-	chr2:176083913	chr2:176077472-176083913	ENSG00000174279	protein_coding	EVX2
5195	chr2	176092721	176095944	+	chr2:176092721	chr2:176092721-176095944	ENSG00000128714	protein_coding	HOXD13
5196	chr2	176099730	176101193	+	chr2:176099730	chr2:176099730-176101193	ENSG00000170178	protein_coding	HOXD12
5197	chr2	176104216	176109754	+	chr2:176104216	chr2:176104216-176109754	ENSG00000128713	protein_coding	HOXD11
5198	chr2	176108790	176119942	+	chr2:176108790	chr2:176108790-176119942	ENSG00000128710	protein_coding	HOXD10
5199	chr2	176121611	176137098	-	chr2:176137098	chr2:176121611-176137098	ENSG00000237380	lncRNA	HOXD-AS2
5200	chr2	176122719	176124937	+	chr2:176122719	chr2:176122719-176124937	ENSG00000128709	protein_coding	HOXD9
5201	chr2	176129694	176132695	+	chr2:176129694	chr2:176129694-176132695	ENSG00000175879	protein_coding	HOXD8
5202	chr2	176136612	176173102	+	chr2:176136612	chr2:176136612-176173102	ENSG00000128652	protein_coding	HOXD3
5203	chr2	176151550	176153226	+	chr2:176151550	chr2:176151550-176153226	ENSG00000170166	protein_coding	HOXD4
5204	chr2	176164051	176188958	-	chr2:176188958	chr2:176164051-176188958	ENSG00000224189	lncRNA	HAGLR
5205	chr2	176164164	176165716	-	chr2:176165716	chr2:176164164-176165716	ENSG00000272729	lncRNA	AC009336.1
5206	chr2	176177717	176179008	+	chr2:176177717	chr2:176177717-176179008	ENSG00000226363	lncRNA	HAGLROS
5207	chr2	176188668	176190907	+	chr2:176188668	chr2:176188668-176190907	ENSG00000128645	protein_coding	HOXD1
5208	chr2	176269395	176338025	+	chr2:176269395	chr2:176269395-176338025	ENSG00000128654	protein_coding	MTX2
5209	chr2	176495255	176819180	+	chr2:176495255	chr2:176495255-176819180	ENSG00000224577	lncRNA	LINC01117
5210	chr2	176506245	176507702	-	chr2:176507702	chr2:176506245-176507702	ENSG00000229434	lncRNA	AC017048.1
5211	chr2	176524879	176531683	-	chr2:176531683	chr2:176524879-176531683	ENSG00000236231	lncRNA	AC017048.2
5212	chr2	176611437	176612249	-	chr2:176612249	chr2:176611437-176612249	ENSG00000272551	lncRNA	AC017048.3
5213	chr2	176629572	176637931	-	chr2:176637931	chr2:176629572-176637931	ENSG00000163364	lncRNA	LINC01116
5214	chr2	176723614	176819310	-	chr2:176819310	chr2:176723614-176819310	ENSG00000230552	lncRNA	AC092162.2
5215	chr2	176830839	176849428	-	chr2:176849428	chr2:176830839-176849428	ENSG00000227098	lncRNA	AC073636.1
5216	chr2	176989418	177164656	-	chr2:177164656	chr2:176989418-177164656	ENSG00000236501	lncRNA	AC074286.1
5217	chr2	177111036	177212662	-	chr2:177212662	chr2:177111036-177212662	ENSG00000229337	lncRNA	AC079305.3
5218	chr2	177212563	177223958	+	chr2:177212563	chr2:177212563-177223958	ENSG00000170144	protein_coding	HNRNPA3
5219	chr2	177227595	177392697	-	chr2:177392697	chr2:177227595-177392697	ENSG00000116044	protein_coding	NFE2L2
5220	chr2	177264359	177265515	+	chr2:177264359	chr2:177264359-177265515	ENSG00000222043	lncRNA	AC079305.1
5221	chr2	177283508	177392691	-	chr2:177392691	chr2:177283508-177392691	ENSG00000213963	lncRNA	AC019080.1
5222	chr2	177300600	177302006	+	chr2:177300600	chr2:177300600-177302006	ENSG00000271825	lncRNA	AC019080.4
5223	chr2	177306373	177310572	+	chr2:177306373	chr2:177306373-177310572	ENSG00000271996	lncRNA	AC019080.5
5224	chr2	177317715	177318471	-	chr2:177318471	chr2:177317715-177318471	ENSG00000280374	lncRNA	AC019080.6
5225	chr2	177392757	177559299	+	chr2:177392757	chr2:177392757-177559299	ENSG00000018510	protein_coding	AGPS
5226	chr2	177548998	177552796	-	chr2:177552796	chr2:177548998-177552796	ENSG00000196659	protein_coding	TTC30B
5227	chr2	177603089	177618572	+	chr2:177603089	chr2:177603089-177618572	ENSG00000237655	lncRNA	AC073834.1
5228	chr2	177612999	177618742	-	chr2:177618742	chr2:177612999-177618742	ENSG00000197557	protein_coding	TTC30A
5229	chr2	177623244	178072777	-	chr2:178072777	chr2:177623244-178072777	ENSG00000128655	protein_coding	PDE11A
5230	chr2	177653419	177723289	+	chr2:177653419	chr2:177653419-177723289	ENSG00000229941	lncRNA	AC012499.1
5231	chr2	177953111	178011989	-	chr2:178011989	chr2:177953111-178011989	ENSG00000236664	lncRNA	AC011998.3
5232	chr2	178112424	178139011	+	chr2:178112424	chr2:178112424-178139011	ENSG00000155636	protein_coding	RBM45
5233	chr2	178194481	178402893	+	chr2:178194481	chr2:178194481-178402893	ENSG00000079156	protein_coding	OSBPL6
5234	chr2	178413635	178440243	+	chr2:178413635	chr2:178413635-178440243	ENSG00000223960	lncRNA	CHROMR
5235	chr2	178431414	178451512	-	chr2:178451512	chr2:178431414-178451512	ENSG00000180228	protein_coding	PRKRA
5236	chr2	178451346	178461409	+	chr2:178451346	chr2:178451346-178461409	ENSG00000204311	protein_coding	PJVK
5237	chr2	178463664	178478600	-	chr2:178478600	chr2:178463664-178478600	ENSG00000079150	protein_coding	FKBP7
5238	chr2	178480457	178516463	+	chr2:178480457	chr2:178480457-178516463	ENSG00000116095	protein_coding	PLEKHA3
5239	chr2	178521183	178779963	+	chr2:178521183	chr2:178521183-178779963	ENSG00000237298	lncRNA	TTN-AS1
5240	chr2	178525989	178830802	-	chr2:178830802	chr2:178525989-178830802	ENSG00000155657	protein_coding	TTN
5241	chr2	178541125	178541799	+	chr2:178541125	chr2:178541125-178541799	ENSG00000270956	lncRNA	AC009948.3
5242	chr2	178548884	178550681	+	chr2:178548884	chr2:178548884-178550681	ENSG00000270277	lncRNA	AC009948.2
5243	chr2	178577103	178577622	+	chr2:178577103	chr2:178577103-178577622	ENSG00000271011	lncRNA	AC010680.3
5244	chr2	178578790	178580906	+	chr2:178578790	chr2:178578790-178580906	ENSG00000270574	lncRNA	AC010680.2
5245	chr2	178616581	178617123	+	chr2:178616581	chr2:178616581-178617123	ENSG00000271141	lncRNA	AC010680.4
5246	chr2	178644717	178645179	+	chr2:178644717	chr2:178644717-178645179	ENSG00000271401	lncRNA	AC010680.5
5247	chr2	178723457	178727046	+	chr2:178723457	chr2:178723457-178727046	ENSG00000267784	lncRNA	AC010680.1
5248	chr2	178828349	179007807	+	chr2:178828349	chr2:178828349-179007807	ENSG00000287149	lncRNA	AC092640.1
5249	chr2	178829757	179050086	-	chr2:179050086	chr2:178829757-179050086	ENSG00000163492	protein_coding	CCDC141
5250	chr2	179101678	179264832	-	chr2:179264832	chr2:179101678-179264832	ENSG00000187231	protein_coding	SESTD1
5251	chr2	179273831	179285707	+	chr2:179273831	chr2:179273831-179285707	ENSG00000237477	lncRNA	AC093911.1
5252	chr2	179441982	179861612	-	chr2:179861612	chr2:179441982-179861612	ENSG00000144331	protein_coding	ZNF385B
5253	chr2	179944876	180007297	-	chr2:180007297	chr2:179944876-180007297	ENSG00000163510	protein_coding	CWC22
5254	chr2	180571712	180692454	-	chr2:180692454	chr2:180571712-180692454	ENSG00000225258	lncRNA	AC009478.1
5255	chr2	180692104	180916939	+	chr2:180692104	chr2:180692104-180916939	ENSG00000281131	lncRNA	SCHLAP1
5256	chr2	180967248	181076585	+	chr2:180967248	chr2:180967248-181076585	ENSG00000170035	protein_coding	UBE2E3
5257	chr2	180979427	180980090	-	chr2:180980090	chr2:180979427-180980090	ENSG00000236153	lncRNA	AC104076.1
5258	chr2	181076051	181105968	-	chr2:181105968	chr2:181076051-181105968	ENSG00000238171	lncRNA	AC068196.1
5259	chr2	181086076	181409321	+	chr2:181086076	chr2:181086076-181409321	ENSG00000234663	lncRNA	LINC01934
5260	chr2	181422154	181425749	-	chr2:181425749	chr2:181422154-181425749	ENSG00000226681	lncRNA	AC020595.1
5261	chr2	181457202	181538940	+	chr2:181457202	chr2:181457202-181538940	ENSG00000115232	protein_coding	ITGA4
5262	chr2	181536672	181680665	-	chr2:181680665	chr2:181536672-181680665	ENSG00000188452	protein_coding	CERKL
5263	chr2	181673088	181680876	-	chr2:181680876	chr2:181673088-181680876	ENSG00000162992	protein_coding	NEUROD1
5264	chr2	181683113	181685707	+	chr2:181683113	chr2:181683113-181685707	ENSG00000234595	lncRNA	AC013733.2
5265	chr2	181690380	181693415	-	chr2:181693415	chr2:181690380-181693415	ENSG00000225570	lncRNA	AC013733.1
5266	chr2	181887851	181891663	-	chr2:181891663	chr2:181887851-181891663	ENSG00000260742	lncRNA	AC009962.1
5267	chr2	181891730	181930738	+	chr2:181891730	chr2:181891730-181930738	ENSG00000138434	protein_coding	ITPRID2
5268	chr2	181954241	182131398	+	chr2:181954241	chr2:181954241-182131398	ENSG00000150722	protein_coding	PPP1R1C
5269	chr2	182140036	182523192	-	chr2:182523192	chr2:182140036-182523192	ENSG00000115252	protein_coding	PDE1A
5270	chr2	182278684	182282752	+	chr2:182278684	chr2:182278684-182282752	ENSG00000287536	lncRNA	AC012500.1
5271	chr2	182716041	182794464	+	chr2:182716041	chr2:182716041-182794464	ENSG00000077232	protein_coding	DNAJC10
5272	chr2	182833275	182866637	-	chr2:182866637	chr2:182833275-182866637	ENSG00000162998	protein_coding	FRZB
5273	chr2	182909115	183038858	-	chr2:183038858	chr2:182909115-183038858	ENSG00000061676	protein_coding	NCKAP1
5274	chr2	183078559	183100008	+	chr2:183078559	chr2:183078559-183100008	ENSG00000162999	protein_coding	DUSP19
5275	chr2	183083405	183108519	-	chr2:183108519	chr2:183083405-183108519	ENSG00000224643	lncRNA	AC064871.2
5276	chr2	183117513	183161680	+	chr2:183117513	chr2:183117513-183161680	ENSG00000163002	protein_coding	NUP35
5277	chr2	183178806	183215414	+	chr2:183178806	chr2:183178806-183215414	ENSG00000272800	lncRNA	AC021851.1
5278	chr2	183253652	183495501	+	chr2:183253652	chr2:183253652-183495501	ENSG00000287621	lncRNA	AC021851.2
5279	chr2	183897950	183902147	+	chr2:183897950	chr2:183897950-183902147	ENSG00000286879	lncRNA	AC093639.3
5280	chr2	183904529	183949112	+	chr2:183904529	chr2:183904529-183949112	ENSG00000234172	lncRNA	AC093639.1
5281	chr2	183997372	184002264	+	chr2:183997372	chr2:183997372-184002264	ENSG00000286807	lncRNA	AC093639.2
5282	chr2	184049467	184187573	-	chr2:184187573	chr2:184049467-184187573	ENSG00000286152	lncRNA	AC096555.1
5283	chr2	184204372	184382869	+	chr2:184204372	chr2:184204372-184382869	ENSG00000286980	lncRNA	AC020584.1
5284	chr2	184593577	184599008	-	chr2:184599008	chr2:184593577-184599008	ENSG00000283839	lncRNA	AC096667.1
5285	chr2	184598529	184939492	+	chr2:184598529	chr2:184598529-184939492	ENSG00000170396	protein_coding	ZNF804A
5286	chr2	185425063	185505608	+	chr2:185425063	chr2:185425063-185505608	ENSG00000286797	lncRNA	AC009315.1
5287	chr2	185652374	185800151	-	chr2:185800151	chr2:185652374-185800151	ENSG00000231646	lncRNA	FSIP2-AS1
5288	chr2	185719874	185740479	-	chr2:185740479	chr2:185719874-185740479	ENSG00000226747	lncRNA	FSIP2-AS2
5289	chr2	185738804	185833290	+	chr2:185738804	chr2:185738804-185833290	ENSG00000188738	protein_coding	FSIP2
5290	chr2	185950469	185953171	-	chr2:185953171	chr2:185950469-185953171	ENSG00000287129	lncRNA	AC097500.1
5291	chr2	186032884	186422432	-	chr2:186422432	chr2:186032884-186422432	ENSG00000237877	lncRNA	LINC01473
5292	chr2	186354570	186356773	-	chr2:186356773	chr2:186354570-186356773	ENSG00000259915	lncRNA	AC017071.1
5293	chr2	186486253	186509361	+	chr2:186486253	chr2:186486253-186509361	ENSG00000065548	protein_coding	ZC3H15
5294	chr2	186590056	186680901	+	chr2:186590056	chr2:186590056-186680901	ENSG00000138448	protein_coding	ITGAV
5295	chr2	186641339	186695287	-	chr2:186695287	chr2:186641339-186695287	ENSG00000227227	lncRNA	AC017101.1
5296	chr2	186694060	186765959	+	chr2:186694060	chr2:186694060-186765959	ENSG00000144369	protein_coding	FAM171B
5297	chr2	186827475	186849208	-	chr2:186849208	chr2:186827475-186849208	ENSG00000163012	protein_coding	ZSWIM2
5298	chr2	187003220	187556288	+	chr2:187003220	chr2:187003220-187556288	ENSG00000224063	lncRNA	AC007319.1
5299	chr2	187341964	187448460	-	chr2:187448460	chr2:187341964-187448460	ENSG00000064989	protein_coding	CALCRL
5300	chr2	187464230	187565760	-	chr2:187565760	chr2:187464230-187565760	ENSG00000003436	protein_coding	TFPI
5301	chr2	187712816	188384313	-	chr2:188384313	chr2:187712816-188384313	ENSG00000231689	lncRNA	LINC01090
5302	chr2	188291669	188595931	+	chr2:188291669	chr2:188291669-188595931	ENSG00000144366	protein_coding	GULP1
5303	chr2	188598791	188839445	-	chr2:188839445	chr2:188598791-188839445	ENSG00000223523	lncRNA	AC092598.1
5304	chr2	188733738	188790104	-	chr2:188790104	chr2:188733738-188790104	ENSG00000174325	protein_coding	DIRC1
5305	chr2	188974320	189012746	+	chr2:188974320	chr2:188974320-189012746	ENSG00000168542	protein_coding	COL3A1
5306	chr2	189031898	189225312	-	chr2:189225312	chr2:189031898-189225312	ENSG00000204262	protein_coding	COL5A2
5307	chr2	189095063	189096158	+	chr2:189095063	chr2:189095063-189096158	ENSG00000228073	lncRNA	AC133106.1
5308	chr2	189441446	189475552	+	chr2:189441446	chr2:189441446-189475552	ENSG00000115368	protein_coding	WDR75
5309	chr2	189537384	189540417	-	chr2:189540417	chr2:189537384-189540417	ENSG00000287418	lncRNA	AC013439.2
5310	chr2	189560579	189583758	-	chr2:189583758	chr2:189560579-189583758	ENSG00000138449	protein_coding	SLC40A1
5311	chr2	189661385	189670831	+	chr2:189661385	chr2:189661385-189670831	ENSG00000138381	protein_coding	ASNSD1
5312	chr2	189661452	189666437	+	chr2:189661452	chr2:189661452-189666437	ENSG00000286053	protein_coding	ASDURF
5313	chr2	189674290	189761193	+	chr2:189674290	chr2:189674290-189761193	ENSG00000151687	protein_coding	ANKAR
5314	chr2	189746660	189763227	-	chr2:189763227	chr2:189746660-189763227	ENSG00000128694	protein_coding	OSGEPL1
5315	chr2	189762704	189765556	+	chr2:189762704	chr2:189762704-189765556	ENSG00000253559	lncRNA	OSGEPL1-AS1
5316	chr2	189763859	189764456	-	chr2:189764456	chr2:189763859-189764456	ENSG00000273240	lncRNA	AC013468.1
5317	chr2	189770267	189784364	-	chr2:189784364	chr2:189770267-189784364	ENSG00000128699	protein_coding	ORMDL1
5318	chr2	189784085	189877629	+	chr2:189784085	chr2:189784085-189877629	ENSG00000064933	protein_coding	PMS1
5319	chr2	189879609	190203484	+	chr2:189879609	chr2:189879609-190203484	ENSG00000187699	protein_coding	C2orf88
5320	chr2	190055700	190062729	-	chr2:190062729	chr2:190055700-190062729	ENSG00000138379	protein_coding	MSTN
5321	chr2	190189735	190344193	-	chr2:190344193	chr2:190189735-190344193	ENSG00000198130	protein_coding	HIBCH
5322	chr2	190343570	190371665	+	chr2:190343570	chr2:190343570-190371665	ENSG00000151689	protein_coding	INPP1
5323	chr2	190408355	190509205	+	chr2:190408355	chr2:190408355-190509205	ENSG00000151690	protein_coding	MFSD6
5324	chr2	190454092	190454521	-	chr2:190454521	chr2:190454092-190454521	ENSG00000272979	lncRNA	AC093388.1
5325	chr2	190504338	190534722	-	chr2:190534722	chr2:190504338-190534722	ENSG00000189362	protein_coding	NEMP2
5326	chr2	190534855	190569776	+	chr2:190534855	chr2:190534855-190569776	ENSG00000233654	lncRNA	AC108047.1
5327	chr2	190607660	190649840	-	chr2:190649840	chr2:190607660-190649840	ENSG00000284052	lncRNA	AC006460.2
5328	chr2	190646746	190692766	+	chr2:190646746	chr2:190646746-190692766	ENSG00000138386	protein_coding	NAB1
5329	chr2	190676944	190708716	-	chr2:190708716	chr2:190676944-190708716	ENSG00000228509	lncRNA	AC006460.1
5330	chr2	190880797	190882059	-	chr2:190882059	chr2:190880797-190882059	ENSG00000235852	lncRNA	AC005540.1
5331	chr2	190880827	190965552	+	chr2:190880827	chr2:190880827-190965552	ENSG00000115419	protein_coding	GLS
5332	chr2	190964358	191020960	-	chr2:191020960	chr2:190964358-191020960	ENSG00000115415	protein_coding	STAT1
5333	chr2	191017954	191019079	+	chr2:191017954	chr2:191017954-191019079	ENSG00000230686	lncRNA	AC067945.2
5334	chr2	191021526	191032314	+	chr2:191021526	chr2:191021526-191032314	ENSG00000231858	lncRNA	AC067945.3
5335	chr2	191029576	191151596	-	chr2:191151596	chr2:191029576-191151596	ENSG00000138378	protein_coding	STAT4
5336	chr2	191045458	191065345	+	chr2:191045458	chr2:191045458-191065345	ENSG00000288064	lncRNA	AC067945.4
5337	chr2	191229165	191246172	-	chr2:191246172	chr2:191229165-191246172	ENSG00000227542	lncRNA	AC092614.1
5338	chr2	191245185	191425389	+	chr2:191245185	chr2:191245185-191425389	ENSG00000128641	protein_coding	MYO1B
5339	chr2	191678068	191696664	+	chr2:191678068	chr2:191678068-191696664	ENSG00000173559	protein_coding	NABP1
5340	chr2	191792797	191820257	+	chr2:191792797	chr2:191792797-191820257	ENSG00000225884	lncRNA	AC098872.1
5341	chr2	191834310	191847088	-	chr2:191847088	chr2:191834310-191847088	ENSG00000168497	protein_coding	CAVIN2
5342	chr2	191846539	192044525	+	chr2:191846539	chr2:191846539-192044525	ENSG00000233766	lncRNA	AC098617.1
5343	chr2	191949043	192194933	-	chr2:192194933	chr2:191949043-192194933	ENSG00000144339	protein_coding	TMEFF2
5344	chr2	192629919	192645706	+	chr2:192629919	chr2:192629919-192645706	ENSG00000229395	lncRNA	AC062039.1
5345	chr2	192644102	192645387	-	chr2:192645387	chr2:192644102-192645387	ENSG00000232227	lncRNA	AC013401.1
5346	chr2	192749845	192776899	+	chr2:192749845	chr2:192749845-192776899	ENSG00000227418	lncRNA	PCGEM1
5347	chr2	193170704	193172765	+	chr2:193170704	chr2:193170704-193172765	ENSG00000286358	lncRNA	AC096647.1
5348	chr2	193867722	193868982	+	chr2:193867722	chr2:193867722-193868982	ENSG00000286868	lncRNA	AC074290.2
5349	chr2	193898367	193899394	+	chr2:193898367	chr2:193898367-193899394	ENSG00000260142	lncRNA	AC068135.2
5350	chr2	194344190	194576578	+	chr2:194344190	chr2:194344190-194576578	ENSG00000225539	lncRNA	LINC01821
5351	chr2	194587925	194612145	+	chr2:194587925	chr2:194587925-194612145	ENSG00000286539	lncRNA	AC073973.1
5352	chr2	194730595	194761435	+	chr2:194730595	chr2:194730595-194761435	ENSG00000230173	lncRNA	LINC01790
5353	chr2	195003711	195026370	-	chr2:195026370	chr2:195003711-195026370	ENSG00000235056	lncRNA	AC010983.1
5354	chr2	195448532	195481827	+	chr2:195448532	chr2:195448532-195481827	ENSG00000224099	lncRNA	AC104823.1
5355	chr2	195451778	195515699	-	chr2:195515699	chr2:195451778-195515699	ENSG00000271893	lncRNA	AC064834.1
5356	chr2	195532945	195540287	+	chr2:195532945	chr2:195532945-195540287	ENSG00000223466	lncRNA	LINC01825
5357	chr2	195569628	195572970	-	chr2:195572970	chr2:195569628-195572970	ENSG00000234919	lncRNA	LINC01827
5358	chr2	195575977	195737702	+	chr2:195575977	chr2:195575977-195737702	ENSG00000196950	protein_coding	SLC39A10
5359	chr2	195737703	196068837	-	chr2:196068837	chr2:195737703-196068837	ENSG00000118997	protein_coding	DNAH7
5360	chr2	196133583	196176503	-	chr2:196176503	chr2:196133583-196176503	ENSG00000081320	protein_coding	STK17B
5361	chr2	196151263	196154881	+	chr2:196151263	chr2:196151263-196154881	ENSG00000272211	lncRNA	AC114760.2
5362	chr2	196189099	196593684	-	chr2:196593684	chr2:196189099-196593684	ENSG00000138411	protein_coding	HECW2
5363	chr2	196260024	196264204	+	chr2:196260024	chr2:196260024-196264204	ENSG00000229056	lncRNA	HECW2-AS1
5364	chr2	196638422	196639497	-	chr2:196639497	chr2:196638422-196639497	ENSG00000282836	lncRNA	AC068544.2
5365	chr2	196639554	196763490	+	chr2:196639554	chr2:196639554-196763490	ENSG00000144395	protein_coding	CCDC150
5366	chr2	196763035	196799725	-	chr2:196799725	chr2:196763035-196799725	ENSG00000119041	protein_coding	GTF3C3
5367	chr2	196804415	196810276	-	chr2:196810276	chr2:196804415-196810276	ENSG00000187944	protein_coding	C2orf66
5368	chr2	196833004	196927796	-	chr2:196927796	chr2:196833004-196927796	ENSG00000197121	protein_coding	PGAP1
5369	chr2	196967017	197311173	-	chr2:197311173	chr2:196967017-197311173	ENSG00000065413	protein_coding	ANKRD44
5370	chr2	197197991	197199273	+	chr2:197197991	chr2:197197991-197199273	ENSG00000231621	lncRNA	AC013264.1
5371	chr2	197250858	197302519	-	chr2:197302519	chr2:197250858-197302519	ENSG00000236977	lncRNA	ANKRD44-IT1
5372	chr2	197311393	197312740	+	chr2:197311393	chr2:197311393-197312740	ENSG00000225979	lncRNA	AC010746.2
5373	chr2	197388515	197435091	-	chr2:197435091	chr2:197388515-197435091	ENSG00000115524	protein_coding	SF3B1
5374	chr2	197453423	197475308	+	chr2:197453423	chr2:197453423-197475308	ENSG00000115520	protein_coding	COQ10B
5375	chr2	197486584	197516737	-	chr2:197516737	chr2:197486584-197516737	ENSG00000144381	protein_coding	HSPD1
5376	chr2	197500140	197503449	+	chr2:197500140	chr2:197500140-197503449	ENSG00000115541	protein_coding	HSPE1
5377	chr2	197515571	197553699	+	chr2:197515571	chr2:197515571-197553699	ENSG00000115540	protein_coding	MOB4
5378	chr2	197568224	197676045	-	chr2:197676045	chr2:197568224-197676045	ENSG00000162944	protein_coding	RFTN2
5379	chr2	197640441	197641574	+	chr2:197640441	chr2:197640441-197641574	ENSG00000287858	lncRNA	AC020550.2
5380	chr2	197693106	197774823	+	chr2:197693106	chr2:197693106-197774823	ENSG00000222017	lncRNA	AC011997.1
5381	chr2	197705369	197708395	+	chr2:197705369	chr2:197705369-197708395	ENSG00000247626	protein_coding	MARS2
5382	chr2	197726879	197786762	-	chr2:197786762	chr2:197726879-197786762	ENSG00000152430	protein_coding	BOLL
5383	chr2	197804593	198572581	+	chr2:197804593	chr2:197804593-198572581	ENSG00000115896	protein_coding	PLCL1
5384	chr2	197817423	197836326	-	chr2:197836326	chr2:197817423-197836326	ENSG00000286020	lncRNA	AC011997.2
5385	chr2	198187802	198191521	-	chr2:198191521	chr2:198187802-198191521	ENSG00000237035	lncRNA	AC020719.1
5386	chr2	198299276	198375490	-	chr2:198375490	chr2:198299276-198375490	ENSG00000236653	lncRNA	LINC01923
5387	chr2	198493242	198772356	-	chr2:198772356	chr2:198493242-198772356	ENSG00000225421	lncRNA	AC019330.1
5388	chr2	198882573	199071791	-	chr2:199071791	chr2:198882573-199071791	ENSG00000231557	lncRNA	AC020718.1
5389	chr2	199269500	199471266	-	chr2:199471266	chr2:199269500-199471266	ENSG00000119042	protein_coding	SATB2
5390	chr2	199325310	199329362	+	chr2:199325310	chr2:199325310-199329362	ENSG00000257045	lncRNA	AC016746.1
5391	chr2	199457700	199476935	+	chr2:199457700	chr2:199457700-199476935	ENSG00000225953	lncRNA	SATB2-AS1
5392	chr2	199608068	199750341	+	chr2:199608068	chr2:199608068-199750341	ENSG00000238217	lncRNA	LINC01877
5393	chr2	199760544	199851173	-	chr2:199851173	chr2:199760544-199851173	ENSG00000226124	protein_coding	FTCDNL1
5394	chr2	199867396	199911159	-	chr2:199911159	chr2:199867396-199911159	ENSG00000232732	lncRNA	AC097717.1
5395	chr2	199911293	199955935	+	chr2:199911293	chr2:199911293-199955935	ENSG00000178074	protein_coding	C2orf69
5396	chr2	199928913	199955736	-	chr2:199955736	chr2:199928913-199955736	ENSG00000162971	protein_coding	TYW5
5397	chr2	199955317	200008540	+	chr2:199955317	chr2:199955317-200008540	ENSG00000162972	protein_coding	MAIP1
5398	chr2	200086870	200100025	+	chr2:200086870	chr2:200086870-200100025	ENSG00000287027	lncRNA	AC004464.1
5399	chr2	200305881	200482264	+	chr2:200305881	chr2:200305881-200482264	ENSG00000196141	protein_coding	SPATS2L
5400	chr2	200390666	200478018	-	chr2:200478018	chr2:200390666-200478018	ENSG00000287299	lncRNA	AC012459.1
5401	chr2	200488958	200519784	-	chr2:200519784	chr2:200488958-200519784	ENSG00000155729	protein_coding	KCTD18
5402	chr2	200510008	200584096	+	chr2:200510008	chr2:200510008-200584096	ENSG00000163535	protein_coding	SGO2
5403	chr2	200586014	200677064	+	chr2:200586014	chr2:200586014-200677064	ENSG00000138356	protein_coding	AOX1
5404	chr2	200711535	200735186	-	chr2:200735186	chr2:200711535-200735186	ENSG00000237166	lncRNA	LINC01792
5405	chr2	200780495	200812170	-	chr2:200812170	chr2:200780495-200812170	ENSG00000230408	lncRNA	AC007163.1
5406	chr2	200810594	200827338	+	chr2:200810594	chr2:200810594-200827338	ENSG00000082153	protein_coding	BZW1
5407	chr2	200853009	200864744	-	chr2:200864744	chr2:200853009-200864744	ENSG00000013441	protein_coding	CLK1
5408	chr2	200870907	200889303	-	chr2:200889303	chr2:200870907-200889303	ENSG00000240344	protein_coding	PPIL3
5409	chr2	200889327	200903938	+	chr2:200889327	chr2:200889327-200903938	ENSG00000196290	protein_coding	NIF3L1
5410	chr2	200908977	200963680	-	chr2:200963680	chr2:200908977-200963680	ENSG00000115942	protein_coding	ORC2
5411	chr2	200963263	201009102	+	chr2:200963263	chr2:200963263-201009102	ENSG00000183308	lncRNA	AC005037.1
5412	chr2	200973718	201071671	-	chr2:201071671	chr2:200973718-201071671	ENSG00000155744	protein_coding	FAM126B
5413	chr2	201071433	201085750	+	chr2:201071433	chr2:201071433-201085750	ENSG00000119013	protein_coding	NDUFB3
5414	chr2	201101382	201103136	+	chr2:201101382	chr2:201101382-201103136	ENSG00000232719	lncRNA	AC007272.1
5415	chr2	201116154	201176687	+	chr2:201116154	chr2:201116154-201176687	ENSG00000003402	protein_coding	CFLAR
5416	chr2	201140278	201157823	-	chr2:201157823	chr2:201140278-201157823	ENSG00000226312	lncRNA	CFLAR-AS1
5417	chr2	201166965	201167546	+	chr2:201166965	chr2:201166965-201167546	ENSG00000234431	lncRNA	AC007283.1
5418	chr2	201182881	201229406	+	chr2:201182881	chr2:201182881-201229406	ENSG00000003400	protein_coding	CASP10
5419	chr2	201233443	201287711	+	chr2:201233443	chr2:201233443-201287711	ENSG00000064012	protein_coding	CASP8
